Wall time,Step,Value
1733205060.076812,0,0.6334371566772461
1733205226.93356,1,0.736760139465332
1733205403.347811,2,0.8177570104598999
1733205577.938409,3,0.83281409740448
1733205785.13678,4,0.8940809965133667
1733206002.217274,5,0.9117341637611389
1733206188.220913,6,0.9101765155792236
1733206358.855277,7,0.8634475469589233
1733206535.151809,8,0.8790239095687866
1733206705.288665,9,0.889927327632904
1733206876.041932,10,0.9366562962532043
1733207071.958446,11,0.9138110280036926
1733207249.921368,12,0.8883696794509888
1733207423.69856,13,0.906022846698761
1733207602.607261,14,0.9335409998893738
1733207781.26134,15,0.9397715330123901
1733207957.954951,16,0.9501557350158691
1733208157.043655,17,0.9247144460678101
1733208330.606885,18,0.9278296828269958
1733208509.778056,19,0.9636552333831787
1733208709.826981,20,0.9589823484420776
1733208889.289722,21,0.9418483972549438
1733209068.667393,22,0.9506749510765076
1733209249.087198,23,0.9454828500747681
1733209431.591781,24,0.9449636340141296
1733209611.917715,25,0.9537902474403381
1733209801.300374,26,0.9657320976257324
1733209986.57081,27,0.9574247002601624
1733210167.110104,28,0.9574247002601624
1733210343.081487,29,0.9595015645027161
1733210511.311784,30,0.9532710313796997
1733210690.18408,31,0.9496365785598755
1733210871.927266,32,0.9620975852012634
1733211038.630752,33,0.9615784287452698
1733211206.264812,34,0.9646936655044556
1733211374.05667,35,0.9662513136863708
1733211543.230312,36,0.9704049825668335
1733211713.388459,37,0.9439252614974976
1733211832.682877,38,0.954828679561615
1733211983.430208,39,0.9600207805633545
1733212160.726482,40,0.9678089022636414
1733212335.245533,41,0.9704049825668335
1733212502.02003,42,0.9678089022636414
1733212637.324635,43,0.9709241986274719
1733212761.359104,44,0.9672897458076477
1733212889.605246,45,0.9714434146881104
1733213017.317783,46,0.9605399966239929
1733213140.784824,47,0.9620975852012634
1733213270.591337,48,0.9662513136863708
1733213395.385389,49,0.9704049825668335
1733213536.222732,50,0.9761162996292114
1733213686.781909,51,0.965212881565094
1733213813.026556,52,0.9636552333831787
1733213936.102116,53,0.9610592126846313
1733214067.863379,54,0.9730010628700256
1733214191.047719,55,0.9678089022636414
1733214313.413792,56,0.9709241986274719
1733214436.722668,57,0.9714434146881104
1733214558.947759,58,0.9787123799324036
1733214681.950995,59,0.9730010628700256
1733214804.128331,60,0.9667705297470093
1733214926.61512,61,0.9672897458076477
1733215049.640295,62,0.9724818468093872
1733215173.763117,63,0.9688473343849182
1733215302.877742,64,0.9704049825668335
1733215428.077194,65,0.9646936655044556
1733215551.946801,66,0.975597083568573
1733215676.019496,67,0.9745586514472961
1733215800.525306,68,0.9761162996292114
1733215924.254965,69,0.9678089022636414
1733216041.708213,70,0.9672897458076477
1733216161.44487,71,0.9704049825668335
1733216281.657754,72,0.9636552333831787
1733216401.035989,73,0.9740394353866577
1733216519.979972,74,0.9724818468093872
1733216640.505151,75,0.9730010628700256
1733216759.921605,76,0.9735202789306641
1733216879.013484,77,0.9714434146881104
1733217000.131071,78,0.9740394353866577
1733217119.317857,79,0.9740394353866577
1733217237.944016,80,0.9766355156898499
1733217356.975991,81,0.9735202789306641
1733217475.026289,82,0.9776739478111267
1733217605.928687,83,0.9766355156898499
1733217739.232116,84,0.9761162996292114
1733217860.98752,85,0.979231595993042
1733218004.624457,86,0.9766355156898499
1733218131.515104,87,0.9766355156898499
1733218258.552988,88,0.9766355156898499
1733218388.770929,89,0.9771547317504883
1733218515.184659,90,0.979231595993042
1733218646.172843,91,0.975597083568573
1733218772.740214,92,0.9745586514472961
1733218901.545546,93,0.9750778675079346
1733219026.670988,94,0.9761162996292114
1733219156.319299,95,0.9781931638717651
1733219282.184723,96,0.9776739478111267
1733219412.963497,97,0.9781931638717651
1733219565.808577,98,0.9761162996292114
1733219746.619317,99,0.9771547317504883
