Wall time,Step,Value
1731377878.954598,0,0.16926272213459015
1731378131.979244,1,0.16926272213459015
1731378408.869873,2,0.1599169224500656
1731378996.55127,3,0.15316718816757202
1731379308.908418,4,0.11214952915906906
1731379580.762933,5,0.33437174558639526
1731379841.089725,6,0.5186915993690491
1731380114.63325,7,0.5072689652442932
1731380372.783743,8,0.6017653346061707
1731380626.311629,9,0.5654205679893494
1731380872.855903,10,0.6007269024848938
1731381116.853236,11,0.5218068361282349
1731381362.106673,12,0.5965732336044312
1731381603.580983,13,0.6017653346061707
1731381907.242893,14,0.6017653346061707
1731382269.045116,15,0.732087254524231
1731382541.149153,16,0.7102803587913513
1731382803.099649,17,0.6656282544136047
1731383067.847174,18,0.5758047699928284
1731383317.413721,19,0.7071651220321655
1731383569.755968,20,0.6552440524101257
1731383817.410618,21,0.5830737352371216
1731384059.857571,22,0.7087227702140808
1731384310.681678,23,0.585669755935669
1731384561.713877,24,0.6417445540428162
1731384814.700857,25,0.6214953064918518
1731385065.076467,26,0.7653167247772217
1731385315.371007,27,0.7658359408378601
1731385564.027379,28,0.5825545191764832
1731385803.896856,29,0.767912745475769
1731386053.698849,30,0.7601246237754822
1731386305.362233,31,0.7352024912834167
1731386556.662445,32,0.7326064109802246
1731386817.967943,33,0.8281412124633789
1731387074.88356,34,0.8182762265205383
1731387329.141668,35,0.6895119547843933
1731387583.838528,36,0.846832811832428
1731387837.168797,37,0.8141225576400757
1731388090.649824,38,0.6220145225524902
1731388344.813904,39,0.8520249128341675
1731388597.853989,40,0.8644859790802002
1731388855.980613,41,0.7139148712158203
1731389108.338925,42,0.8525441288948059
1731389350.435371,43,0.8208722472190857
1731389602.008107,44,0.8738317489624023
1731389851.601154,45,0.8177570104598999
1731390104.686129,46,0.7092419266700745
1731390357.151019,47,0.7554517388343811
1731390608.08636,48,0.7814122438430786
1731390858.552298,49,0.857217013835907
1731391111.473473,50,0.8603323101997375
1731391364.555501,51,0.7850467562675476
1731391617.123019,52,0.8764278292655945
1731391867.646262,53,0.895638644695282
1731392119.156922,54,0.8525441288948059
1731392371.874972,55,0.8089303970336914
1731392627.209518,56,0.7731049060821533
1731392873.249526,57,0.8333333134651184
1731393123.654567,58,0.8333333134651184
1731393373.850416,59,0.8883696794509888
1731393625.611426,60,0.892004132270813
1731393877.731,61,0.8727933764457703
1731394127.175855,62,0.9029076099395752
1731394380.674996,63,0.7300103902816772
1731394636.445157,64,0.8457943797111511
1731394888.513411,65,0.8670820593833923
1731395130.522469,66,0.8894081115722656
1731395372.670895,67,0.8369678258895874
1731395623.877101,68,0.8748701810836792
1731395868.316712,69,0.9055036306381226
1731396125.730437,70,0.9013499617576599
1731396390.391084,71,0.8494288921356201
1731396647.296249,72,0.8525441288948059
1731396904.007774,73,0.8582554459571838
1731397151.497549,74,0.9106957316398621
1731397399.166667,75,0.9086189270019531
1731397646.676526,76,0.8499481081962585
1731397889.053169,77,0.9241952300071716
1731398137.426111,78,0.895638644695282
1731398378.12839,79,0.8525441288948059
1731398629.184163,80,0.9070612788200378
1731398877.489667,81,0.91640704870224
1731399129.00008,82,0.8904465436935425
1731399378.26481,83,0.9080997109413147
1731399621.331292,84,0.8987538814544678
1731399873.049734,85,0.8966770768165588
1731400125.090332,86,0.9215991497039795
1731400372.766739,87,0.8738317489624023
1731400634.789228,88,0.9309449791908264
1731400884.512488,89,0.9008307456970215
1731401123.365238,90,0.9096572995185852
1731401371.891182,91,0.8676012754440308
1731401621.878518,92,0.892004132270813
1731401865.099826,93,0.8681204319000244
1731402112.856036,94,0.9106957316398621
1731402353.039898,95,0.9049844145774841
1731402602.902727,96,0.9241952300071716
1731402842.441212,97,0.9039459824562073
1731403085.771264,98,0.9122533798217773
1731403334.46942,99,0.9174454808235168
1731403587.882156,100,0.8847352266311646
1731403839.865445,101,0.914330244064331
1731404083.14696,102,0.9101765155792236
1731404333.802578,103,0.9080997109413147
1731404573.497867,104,0.9132918119430542
1731404818.859521,105,0.9169262647628784
1731405069.15366,106,0.930425763130188
1731405307.97216,107,0.9299065470695496
1731405558.737228,108,0.9273104667663574
1731405810.081892,109,0.9117341637611389
1731406057.509283,110,0.9138110280036926
1731406328.076598,111,0.9174454808235168
1731406589.41246,112,0.9314641952514648
1731406854.221332,113,0.920041561126709
1731407111.836792,114,0.9330217838287354
1731407368.357035,115,0.914330244064331
1731407620.97375,116,0.9236760139465332
1731407873.057537,117,0.9449636340141296
1731408124.385562,118,0.9366562962532043
1731408372.244839,119,0.9366562962532043
1731408622.647962,120,0.9299065470695496
1731408872.795388,121,0.9106957316398621
1731409123.687716,122,0.914330244064331
1731409372.72032,123,0.914330244064331
1731409618.941511,124,0.9423676133155823
1731409870.383131,125,0.930425763130188
1731410111.943372,126,0.9325025677680969
1731410358.636619,127,0.9418483972549438
1731410609.406757,128,0.9278296828269958
1731410861.697604,129,0.9350986480712891
1731411114.955581,130,0.9335409998893738
1731411365.979639,131,0.9413291811943054
1731411621.487717,132,0.926791250705719
1731411873.612737,133,0.9231567978858948
1731412121.445955,134,0.9361370801925659
1731412372.823856,135,0.9350986480712891
1731412618.885062,136,0.9371755123138428
1731412871.678105,137,0.9402907490730286
1731413115.0954,138,0.9392523169517517
1731413366.81067,139,0.9345794320106506
1731413615.201055,140,0.9340602159500122
1731413884.586915,141,0.9299065470695496
1731414162.872191,142,0.9376947283744812
1731414431.050414,143,0.9356178641319275
1731414687.604472,144,0.9340602159500122
1731414942.770964,145,0.940809965133667
1731415204.730944,146,0.9402907490730286
1731415457.148754,147,0.9434060454368591
1731415709.84753,148,0.9387331008911133
1731415963.137929,149,0.9475597143173218
1731416218.568902,150,0.9439252614974976
1731416474.873426,151,0.9449636340141296
1731416725.273134,152,0.9366562962532043
1731416976.305517,153,0.9402907490730286
1731417226.781141,154,0.9449636340141296
1731417467.190957,155,0.9366562962532043
1731417748.849145,156,0.9501557350158691
1731418152.602057,157,0.9444444179534912
1731418747.557202,158,0.9434060454368591
1731419032.95803,159,0.9460020661354065
1731419306.069564,160,0.9460020661354065
1731419574.151444,161,0.9496365785598755
1731419836.26536,162,0.9475597143173218
1731420109.60274,163,0.9465212821960449
1731420372.129205,164,0.9465212821960449
1731420673.53565,165,0.9449636340141296
1731420993.163115,166,0.9444444179534912
1731421269.929473,167,0.9454828500747681
1731421517.21148,168,0.9439252614974976
1731421791.734778,169,0.9439252614974976
1731422071.248974,170,0.9418483972549438
1731422344.447641,171,0.9444444179534912
1731422641.431498,172,0.9428868293762207
1731422931.154599,173,0.9434060454368591
1731423187.065324,174,0.9454828500747681
1731423478.101845,175,0.9465212821960449
1731423768.441752,176,0.9449636340141296
1731424032.438237,177,0.9434060454368591
1731424293.154494,178,0.9444444179534912
1731424825.944879,179,0.9444444179534912
1731551441.731758,180,0.9439252614974976
1731551720.367745,181,0.9460020661354065
1731551981.877803,182,0.9454828500747681
1731552217.033253,183,0.9460020661354065
1731552455.749462,184,0.9454828500747681
1731552694.194993,185,0.9454828500747681
1731552934.171302,186,0.9454828500747681
1731553175.92303,187,0.9470404982566833
1731553417.784158,188,0.9480789303779602
1731553660.344236,189,0.9449636340141296
1731553904.646694,190,0.9454828500747681
1731554146.209139,191,0.9454828500747681
1731554388.05473,192,0.9465212821960449
1731554685.087082,193,0.9460020661354065
1731554943.66479,194,0.9465212821960449
1731555196.797171,195,0.9465212821960449
1731555449.746033,196,0.9460020661354065
1731555701.090046,197,0.9470404982566833
1731555952.540513,198,0.9460020661354065
1731556202.486614,199,0.9460020661354065
